,TEMPLATE_SIZE,ATTACK_SIZE,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR
203,15000.0,100.0,3.0,132.8125,0.0,0.0
204,20000.0,25.0,1.0,112.8125,0.0,0.0
205,20000.0,50.0,1.0,143.4375,0.0,0.0
206,20000.0,75.0,1.0,145.625,0.0,0.0
207,20000.0,100.0,1.0,166.9375,0.0,0.0
208,20000.0,25.0,2.0,134.5,0.0,0.0
209,20000.0,50.0,2.0,148.25,0.0,0.0
210,20000.0,75.0,2.0,117.6875,0.0,0.0
211,20000.0,100.0,2.0,131.6875,0.0,0.0
212,20000.0,25.0,3.0,155.375,0.0,0.0
213,20000.0,50.0,3.0,105.6875,0.0,0.0
214,20000.0,75.0,3.0,108.5625,0.0,0.0
215,20000.0,100.0,3.0,152.8125,0.0,0.0
216,10000.0,25.0,1.0,116.4375,0.0,0.0
217,10000.0,50.0,1.0,116.8125,0.0,0.0
218,10000.0,75.0,1.0,143.6875,0.0,0.0
219,10000.0,100.0,1.0,119.25,0.0,0.0
220,10000.0,25.0,2.0,144.625,0.0,0.0
221,10000.0,50.0,2.0,116.0625,0.0,0.0
222,10000.0,75.0,2.0,151.625,0.0,0.0
223,10000.0,100.0,2.0,155.625,0.0,0.0
224,10000.0,25.0,3.0,102.875,0.0,0.0
225,10000.0,50.0,3.0,110.8125,0.0,0.0
226,10000.0,75.0,3.0,101.0,0.0,0.0
227,10000.0,100.0,3.0,121.75,0.0,0.0625
228,15000.0,25.0,1.0,117.0625,0.0,0.0
229,15000.0,50.0,1.0,124.9375,0.0,0.0
230,15000.0,75.0,1.0,110.8125,0.0,0.0625
231,15000.0,100.0,1.0,115.9375,0.0,0.0
232,15000.0,25.0,2.0,131.125,0.0,0.0
233,15000.0,50.0,2.0,134.375,0.0,0.0
234,15000.0,75.0,2.0,83.125,0.0,0.0625
235,15000.0,100.0,2.0,98.125,0.0,0.0
236,15000.0,25.0,3.0,154.375,0.0,0.0
237,15000.0,50.0,3.0,96.375,0.0,0.0
238,15000.0,75.0,3.0,139.125,0.0,0.0
239,15000.0,100.0,3.0,101.25,0.0,0.0
240,20000.0,25.0,1.0,136.375,0.0,0.0
241,20000.0,50.0,1.0,150.4375,0.0,0.0
242,20000.0,75.0,1.0,130.875,0.0,0.0
243,20000.0,100.0,1.0,143.5,0.0,0.0
244,20000.0,25.0,2.0,116.0,0.0,0.0
245,20000.0,50.0,2.0,116.4375,0.0,0.0
246,20000.0,75.0,2.0,117.875,0.0,0.0
247,20000.0,100.0,2.0,116.3125,0.0,0.0
248,20000.0,25.0,3.0,101.3125,0.0,0.0
249,20000.0,50.0,3.0,124.9375,0.0,0.0
250,20000.0,75.0,3.0,145.0625,0.0,0.0
251,20000.0,100.0,3.0,106.0625,0.0,0.0
252,10000.0,25.0,1.0,146.0625,0.0,0.0
253,10000.0,50.0,1.0,119.3125,0.0,0.0
254,10000.0,75.0,1.0,114.625,0.0,0.0
255,10000.0,100.0,1.0,150.6875,0.0,0.0
256,10000.0,25.0,2.0,134.9375,0.0,0.0
257,10000.0,50.0,2.0,142.0625,0.0,0.0
258,10000.0,75.0,2.0,117.0,0.0,0.0
259,10000.0,100.0,2.0,159.3125,0.0,0.0
260,10000.0,25.0,3.0,111.5625,0.0,0.0
261,10000.0,50.0,3.0,141.6875,0.0,0.0
262,10000.0,75.0,3.0,119.3125,0.0,0.0
263,10000.0,100.0,3.0,129.25,0.0,0.0
264,15000.0,25.0,1.0,126.125,0.0,0.0
265,15000.0,50.0,1.0,126.4375,0.0,0.0
266,15000.0,75.0,1.0,133.1875,0.0,0.0
267,15000.0,100.0,1.0,168.6875,0.0,0.0
268,15000.0,25.0,2.0,113.0625,0.0,0.0
269,15000.0,50.0,2.0,112.1875,0.0,0.0
270,15000.0,75.0,2.0,151.375,0.0,0.0625
271,15000.0,100.0,2.0,124.625,0.0,0.0
272,15000.0,25.0,3.0,125.375,0.0,0.0
273,15000.0,50.0,3.0,150.1875,0.0,0.0
274,15000.0,75.0,3.0,117.6875,0.0,0.0
275,15000.0,100.0,3.0,151.8125,0.0,0.0
276,20000.0,25.0,1.0,153.875,0.0,0.0
277,20000.0,50.0,1.0,135.5,0.0,0.0
278,20000.0,75.0,1.0,134.125,0.0,0.0
279,20000.0,100.0,1.0,144.375,0.0,0.0
280,20000.0,25.0,2.0,119.75,0.0,0.0625
281,20000.0,50.0,2.0,105.9375,0.0,0.0
282,20000.0,75.0,2.0,131.6875,0.0,0.0
283,20000.0,100.0,2.0,103.75,0.0,0.0
284,20000.0,25.0,3.0,146.0,0.0,0.0
285,20000.0,50.0,3.0,146.25,0.0,0.0
286,20000.0,75.0,3.0,76.9375,0.0,0.0
287,20000.0,100.0,3.0,116.125,0.0,0.0
288,10000.0,25.0,1.0,102.5,0.0,0.0
289,10000.0,50.0,1.0,142.75,0.0,0.0
290,10000.0,75.0,1.0,91.6875,0.0,0.0
291,10000.0,100.0,1.0,110.25,0.0,0.0
292,10000.0,25.0,2.0,118.9375,0.0,0.0
293,10000.0,50.0,2.0,173.0625,0.0,0.0
294,10000.0,75.0,2.0,106.0625,0.0,0.0
295,10000.0,100.0,2.0,132.1875,0.0,0.0
296,10000.0,25.0,3.0,121.6875,0.0,0.0
297,10000.0,50.0,3.0,102.5625,0.0,0.0
298,10000.0,75.0,3.0,109.0,0.0,0.0
299,10000.0,100.0,3.0,147.0,0.0,0.0
300,15000.0,25.0,1.0,112.75,0.0,0.0
301,15000.0,50.0,1.0,110.375,0.0,0.0
302,15000.0,75.0,1.0,138.25,0.0,0.0
303,15000.0,100.0,1.0,153.75,0.0,0.0
304,15000.0,25.0,2.0,105.5,0.0,0.0
305,15000.0,50.0,2.0,117.125,0.0,0.0
306,15000.0,75.0,2.0,117.375,0.0,0.0
307,15000.0,100.0,2.0,130.0625,0.0,0.0
308,15000.0,25.0,3.0,111.375,0.0,0.0
309,15000.0,50.0,3.0,125.4375,0.0,0.0
310,15000.0,75.0,3.0,101.625,0.0,0.0625
311,15000.0,100.0,3.0,131.9375,0.0,0.0625
312,20000.0,25.0,1.0,128.0,0.0,0.0
313,20000.0,50.0,1.0,144.6875,0.0,0.0
314,20000.0,75.0,1.0,106.1875,0.0,0.0
315,20000.0,100.0,1.0,139.0625,0.0,0.0
316,20000.0,25.0,2.0,129.25,0.0,0.0
317,20000.0,50.0,2.0,146.5625,0.0,0.0
318,20000.0,75.0,2.0,131.375,0.0,0.0
319,20000.0,100.0,2.0,97.25,0.0,0.0
320,20000.0,25.0,3.0,130.6875,0.0,0.0
321,20000.0,50.0,3.0,149.0625,0.0,0.0
322,20000.0,75.0,3.0,120.8125,0.0,0.0
323,20000.0,100.0,3.0,101.5625,0.0,0.0
324,10000.0,25.0,1.0,124.4375,0.0,0.0
325,10000.0,50.0,1.0,134.6875,0.0,0.0
326,10000.0,75.0,1.0,141.25,0.0,0.0
327,10000.0,100.0,1.0,143.8125,0.0,0.0
328,10000.0,25.0,2.0,108.875,0.0,0.0625
329,10000.0,50.0,2.0,134.4375,0.0,0.0
330,10000.0,75.0,2.0,132.6875,0.0,0.0
331,10000.0,100.0,2.0,169.6875,0.0,0.0
332,10000.0,25.0,3.0,133.5,0.0,0.0
333,10000.0,50.0,3.0,121.25,0.0,0.0
334,10000.0,75.0,3.0,112.875,0.0,0.0
335,10000.0,100.0,3.0,93.3125,0.0,0.0
336,15000.0,25.0,1.0,137.25,0.0,0.0
337,15000.0,50.0,1.0,160.8125,0.0,0.0
338,15000.0,75.0,1.0,160.25,0.0,0.0
339,15000.0,100.0,1.0,141.3125,0.0,0.0
340,15000.0,25.0,2.0,127.75,0.0,0.0
341,15000.0,50.0,2.0,129.75,0.0,0.0
342,15000.0,75.0,2.0,129.8125,0.0,0.0
343,15000.0,100.0,2.0,150.75,0.0,0.0
344,15000.0,25.0,3.0,130.9375,0.0,0.0
345,15000.0,50.0,3.0,142.8125,0.0,0.0
346,15000.0,75.0,3.0,107.125,0.0,0.0
347,15000.0,100.0,3.0,125.125,0.0,0.0
348,20000.0,25.0,1.0,128.1875,0.0,0.0
349,20000.0,50.0,1.0,130.625,0.0,0.0
350,20000.0,75.0,1.0,108.375,0.0,0.0
351,20000.0,100.0,1.0,135.375,0.0,0.0
352,20000.0,25.0,2.0,129.4375,0.0,0.0
353,20000.0,50.0,2.0,162.75,0.0,0.0
354,20000.0,75.0,2.0,126.5,0.0,0.0
355,20000.0,100.0,2.0,133.6875,0.0,0.0
356,20000.0,25.0,3.0,129.8125,0.0,0.0
357,20000.0,50.0,3.0,174.125,0.0,0.0
358,20000.0,75.0,3.0,135.25,0.0,0.0625
359,20000.0,100.0,3.0,123.75,0.0,0.0
