,TEMPLATE_SIZE,ATTACK_SIZE,SAMPLE_STEP,GE,KEY_SR,SUBKEY_SR
255,10000.0,100.0,1.0,128.0,0.0,0.0
256,10000.0,25.0,2.0,122.0625,0.0,0.0
257,10000.0,50.0,2.0,130.3125,0.0,0.0
258,10000.0,75.0,2.0,120.5,0.0,0.0
259,10000.0,100.0,2.0,140.0,0.0,0.0
260,10000.0,25.0,3.0,122.625,0.0,0.0
261,10000.0,50.0,3.0,147.875,0.0,0.0
262,10000.0,75.0,3.0,119.25,0.0,0.0
263,10000.0,100.0,3.0,119.875,0.0,0.0
264,15000.0,25.0,1.0,89.0,0.0,0.0
265,15000.0,50.0,1.0,123.6875,0.0,0.0
266,15000.0,75.0,1.0,152.3125,0.0,0.0
267,15000.0,100.0,1.0,128.9375,0.0,0.0
268,15000.0,25.0,2.0,106.5,0.0,0.0
269,15000.0,50.0,2.0,117.0625,0.0,0.0
270,15000.0,75.0,2.0,119.375,0.0,0.0
271,15000.0,100.0,2.0,133.625,0.0,0.0
272,15000.0,25.0,3.0,118.6875,0.0,0.0625
273,15000.0,50.0,3.0,85.375,0.0,0.0
274,15000.0,75.0,3.0,139.875,0.0,0.0
275,15000.0,100.0,3.0,127.1875,0.0,0.0
276,20000.0,25.0,1.0,157.6875,0.0,0.0
277,20000.0,50.0,1.0,127.875,0.0,0.0
278,20000.0,75.0,1.0,109.3125,0.0,0.0
279,20000.0,100.0,1.0,124.1875,0.0,0.0
280,20000.0,25.0,2.0,146.875,0.0,0.0
281,20000.0,50.0,2.0,125.875,0.0,0.0
282,20000.0,75.0,2.0,134.875,0.0,0.0
283,20000.0,100.0,2.0,108.0625,0.0,0.0
284,20000.0,25.0,3.0,140.1875,0.0,0.0
285,20000.0,50.0,3.0,150.0,0.0,0.0625
286,20000.0,75.0,3.0,161.625,0.0,0.0
287,20000.0,100.0,3.0,111.5,0.0,0.0
288,10000.0,25.0,1.0,112.75,0.0,0.0
289,10000.0,50.0,1.0,153.125,0.0,0.0
290,10000.0,75.0,1.0,130.0625,0.0,0.0
291,10000.0,100.0,1.0,120.75,0.0,0.0
292,10000.0,25.0,2.0,108.375,0.0,0.0
293,10000.0,50.0,2.0,138.4375,0.0,0.0
294,10000.0,75.0,2.0,164.0625,0.0,0.0
295,10000.0,100.0,2.0,142.5625,0.0,0.0
296,10000.0,25.0,3.0,116.0625,0.0,0.0
297,10000.0,50.0,3.0,154.125,0.0,0.0
298,10000.0,75.0,3.0,131.625,0.0,0.0
299,10000.0,100.0,3.0,119.875,0.0,0.0
300,15000.0,25.0,1.0,109.625,0.0,0.0
301,15000.0,50.0,1.0,88.625,0.0,0.0
302,15000.0,75.0,1.0,132.75,0.0,0.0
303,15000.0,100.0,1.0,138.6875,0.0,0.0
304,15000.0,25.0,2.0,109.3125,0.0,0.0
305,15000.0,50.0,2.0,146.1875,0.0,0.0
306,15000.0,75.0,2.0,137.9375,0.0,0.0
307,15000.0,100.0,2.0,141.4375,0.0,0.0
308,15000.0,25.0,3.0,97.625,0.0,0.0
309,15000.0,50.0,3.0,125.3125,0.0,0.0
310,15000.0,75.0,3.0,149.5625,0.0,0.0
311,15000.0,100.0,3.0,139.625,0.0,0.0
312,20000.0,25.0,1.0,147.4375,0.0,0.0
313,20000.0,50.0,1.0,107.75,0.0,0.0
314,20000.0,75.0,1.0,137.5,0.0,0.0
315,20000.0,100.0,1.0,111.25,0.0,0.0
316,20000.0,25.0,2.0,104.25,0.0,0.0
317,20000.0,50.0,2.0,126.875,0.0,0.0
318,20000.0,75.0,2.0,136.5,0.0,0.0
319,20000.0,100.0,2.0,138.625,0.0,0.0
320,20000.0,25.0,3.0,151.9375,0.0,0.0
321,20000.0,50.0,3.0,140.4375,0.0,0.0
322,20000.0,75.0,3.0,147.1875,0.0,0.0
323,20000.0,100.0,3.0,100.875,0.0,0.0
324,10000.0,25.0,1.0,121.9375,0.0,0.0
325,10000.0,50.0,1.0,138.375,0.0,0.0
326,10000.0,75.0,1.0,102.5625,0.0,0.0
327,10000.0,100.0,1.0,137.0,0.0,0.0
328,10000.0,25.0,2.0,141.375,0.0,0.0
329,10000.0,50.0,2.0,168.1875,0.0,0.0
330,10000.0,75.0,2.0,106.875,0.0,0.0
331,10000.0,100.0,2.0,124.8125,0.0,0.0
332,10000.0,25.0,3.0,125.9375,0.0,0.0
333,10000.0,50.0,3.0,114.625,0.0,0.0
334,10000.0,75.0,3.0,171.0,0.0,0.0
335,10000.0,100.0,3.0,113.8125,0.0,0.0
336,15000.0,25.0,1.0,122.8125,0.0,0.0
337,15000.0,50.0,1.0,114.6875,0.0,0.0
338,15000.0,75.0,1.0,125.5625,0.0,0.0
339,15000.0,100.0,1.0,90.5625,0.0,0.0
340,15000.0,25.0,2.0,125.1875,0.0,0.0
341,15000.0,50.0,2.0,136.625,0.0,0.0625
342,15000.0,75.0,2.0,137.375,0.0,0.0
343,15000.0,100.0,2.0,108.0625,0.0,0.0
344,15000.0,25.0,3.0,110.75,0.0,0.0
345,15000.0,50.0,3.0,110.0625,0.0,0.0
346,15000.0,75.0,3.0,130.4375,0.0,0.0
347,15000.0,100.0,3.0,150.1875,0.0,0.0
348,20000.0,25.0,1.0,166.875,0.0,0.0
349,20000.0,50.0,1.0,137.4375,0.0,0.0
350,20000.0,75.0,1.0,147.8125,0.0,0.0
351,20000.0,100.0,1.0,126.5,0.0,0.0
352,20000.0,25.0,2.0,118.8125,0.0,0.0
353,20000.0,50.0,2.0,150.5625,0.0,0.0
354,20000.0,75.0,2.0,143.625,0.0,0.0
355,20000.0,100.0,2.0,130.625,0.0,0.0
356,20000.0,25.0,3.0,148.25,0.0,0.0
357,20000.0,50.0,3.0,153.875,0.0,0.0
358,20000.0,75.0,3.0,137.875,0.0,0.0
359,20000.0,100.0,3.0,118.8125,0.0,0.0
